date,open_interest,lev_money_net,lev_money_cot_index,asset_mgr_net,asset_mgr_cot_index,dealer_net,dealer_cot_index
2011-08-23,360396,7279,52.59125562350152,1334,59.595843720355624,-16873,55.75195975810235
2011-08-30,372851,-11698,42.36685434120848,12854,64.67868252112335,-4345,59.86277591654991
2011-09-06,392734,-488,48.40656232321328,-7424,55.73165081956364,-3645,60.092467113142604
2011-09-13,473798,-847,48.21314080978422,-20833,49.81534999669086,11147,64.9461702274271
2011-09-20,309930,8274,53.12734031949571,-12454,53.51232103068676,2950,62.25648631532664
2011-09-27,316586,12829,55.581476792112284,-1689,58.262039753799996,18750,67.44094475270461
2011-10-04,322866,18642,58.71339672961396,-14206,52.73930596307,30048,71.14816066571072
2011-10-11,299005,21470,60.2370625791331,6604,61.92106598424849,7273,63.67499351942695
2011-10-18,324594,31147,65.4508229842946,29525,72.03423856692184,-30390,51.31662275189741
2011-10-25,337429,44753,72.78144446539694,37133,75.39103002492885,-48409,45.40404322132059
2011-11-01,339730,54324,77.93809434013093,50275,81.18952546934634,-65507,39.793671679403595
2011-11-08,346543,49439,75.3061609331645,65166,87.75971232544288,-64757,40.03976939003862
2011-11-15,346653,53785,77.64769268069287,59455,85.23991263870812,-67025,39.29556991307829
2011-11-22,320368,37358,68.79717680019397,49572,80.87934876127865,-29168,51.71759795509209
2011-11-29,295643,34883,67.46369979257024,45142,78.92475015994177,-17280,55.61841073379775
2011-12-06,321602,35800,67.95775975862719,58648,84.88384919146684,-38188,48.75786282185479
2011-12-13,412713,45881,73.38918671372,60576,85.73451874076198,-41838,47.560187296764305
2011-12-20,255825,21589,60.301177231216826,51235,81.61309536941032,-80825,34.76737203739373
2011-12-27,255983,21295,60.142776326068805,53840,82.76246994197975,-84213,33.65566664588508
2012-01-03,264654,30903,65.31936100859352,50233,81.17099428621853,-91562,31.244237211942625
2012-01-10,298290,36117,68.12855257132081,70929,90.30245538176443,-120296,21.81574172209334
2012-01-17,328260,52073,76.72530373642952,76825,92.90388051799069,-140879,15.061836151425561
2012-01-24,375509,68646,85.6544812909135,79888,94.25533323038232,-172145,4.802514790472409
2012-01-31,382193,90283,97.31203361978396,84645,96.3542103289285,-180165,2.170909938081816
