date,building_permits_k,housing_starts_k,months_supply_new
2000-07-01,1542,1463,4.1
2000-08-01,1552,1541,4.4
2000-09-01,1570,1507,4
2000-10-01,1577,1549,4
2000-11-01,1614,1551,4.2
2000-12-01,1543,1532,3.6
2001-01-01,1699,1600,3.8
2001-02-01,1656,1625,3.7
2001-03-01,1659,1590,3.8
2001-04-01,1666,1649,3.9
2001-05-01,1665,1605,4
2001-06-01,1626,1636,4.2
2001-07-01,1598,1670,4.2
2001-08-01,1615,1567,4.4
2001-09-01,1565,1562,4.4
2001-10-01,1566,1540,4.3
2001-11-01,1651,1602,4.1
2001-12-01,1680,1568,3.8
2002-01-01,1665,1698,4.2
2002-02-01,1787,1829,4
2002-03-01,1691,1642,4.1
2002-04-01,1669,1592,4.3
2002-05-01,1716,1764,4
2002-06-01,1758,1717,4.2
2002-07-01,1738,1655,4.2
2002-08-01,1695,1633,4
2002-09-01,1803,1804,3.9
2002-10-01,1799,1648,4
2002-11-01,1771,1753,4
2002-12-01,1896,1788,4
2003-01-01,1808,1853,4
2003-02-01,1854,1629,4.5
2003-03-01,1757,1726,4.1
2003-04-01,1803,1643,4.1
2003-05-01,1835,1751,3.9
2003-06-01,1875,1867,3.5
2003-07-01,1885,1897,3.6
2003-08-01,1966,1833,3.5
2003-09-01,1961,1939,3.8
2003-10-01,2012,1967,3.8
2003-11-01,1918,2083,4.1
2003-12-01,1987,2057,4
2004-01-01,1952,1911,3.8
2004-02-01,1966,1846,3.7
2004-03-01,2066,1998,3.6
2004-04-01,2070,2003,4
2004-05-01,2150,1981,3.8
2004-06-01,2020,1828,3.9
2004-07-01,2112,2002,4.5
2004-08-01,2056,2024,4.3
2004-09-01,2041,1905,4.1
2004-10-01,2097,2072,3.9
2004-11-01,2079,1782,4.3
2004-12-01,2082,2042,4.1
2005-01-01,2139,2144,4.4
2005-02-01,2114,2207,4.3
2005-03-01,2062,1864,4.1
2005-04-01,2150,2061,4.3
