date,total_pc,index_pc,etp_pc,equity_pc,call_volume,put_volume
2021-06-04,0.84,1.82,0.97,0.44,3537566.0,2987016.0
2021-06-07,0.68,1.4,0.93,0.43,2876895.0,1967865.0
2021-06-08,0.65,1.52,0.99,0.35,3053929.0,1988447.0
2021-06-09,0.65,1.37,1.12,0.36,3308839.0,2157850.0
2021-06-10,0.78,1.38,1.18,0.43,3296426.0,2577512.0
2021-06-11,0.85,1.6,0.96,0.48,3551090.0,3006188.0
2021-06-14,0.71,1.54,1.04,0.36,3449678.0,2460194.0
2021-06-15,0.71,1.21,0.84,0.45,2844368.0,2024013.0
2021-06-16,0.97,1.85,1.0,0.55,3048773.0,2952958.0
2021-06-17,0.84,1.75,0.95,0.49,3662821.0,3086086.0
2021-06-18,0.9,1.67,1.02,0.56,4227949.0,3817544.0
2021-06-21,0.8,1.58,1.05,0.42,3314990.0,2636924.0
2021-06-22,0.78,1.61,1.05,0.47,2756993.0,2152952.0
2021-06-23,0.7,1.35,1.05,0.39,3109746.0,2164049.0
2021-06-24,0.68,1.39,1.24,0.4,3384958.0,2308357.0
2021-06-25,0.74,1.39,0.97,0.48,3655467.0,2695381.0
2021-06-28,0.76,1.59,1.31,0.42,3213925.0,2426886.0
2021-06-29,0.66,1.38,1.0,0.43,2909789.0,1916060.0
2021-06-30,0.74,1.34,1.06,0.4,3233488.0,2402718.0
2021-07-01,0.65,0.84,1.05,0.44,3584648.0,2343845.0
2021-07-02,0.78,1.3,0.99,0.51,3639390.0,2846041.0
2021-07-05,,,,,,
2021-07-06,0.89,1.53,1.24,0.51,3587137.0,3187044.0
2021-07-07,0.83,1.64,0.92,0.52,3182829.0,2655997.0
2021-07-08,0.86,1.37,0.92,0.59,3183787.0,2729592.0
2021-07-09,0.87,1.26,1.29,0.53,3342216.0,2896480.0
2021-07-12,0.88,1.73,1.02,0.49,2852547.0,2502410.0
2021-07-13,0.81,1.73,0.82,0.48,3035618.0,2470317.0
2021-07-14,0.81,1.39,1.06,0.49,3385957.0,2738765.0
2021-07-15,0.89,1.29,1.31,0.59,3218977.0,2880354.0
2021-07-16,0.98,1.53,1.08,0.69,3794487.0,3724583.0
2021-07-19,0.98,1.22,1.5,0.53,4478746.0,4379920.0
2021-07-20,0.78,1.18,1.02,0.44,3106713.0,2410294.0
2021-07-21,0.86,1.62,1.2,0.46,2643343.0,2275340.0
2021-07-22,0.87,1.43,1.23,0.57,2133943.0,1846165.0
2021-07-23,0.88,1.43,0.9,0.61,3231330.0,2848186.0
2021-07-26,0.86,1.59,0.95,0.54,2481085.0,2135332.0
2021-07-27,1.0,1.46,1.69,0.59,2312936.0,2309292.0
2021-07-28,0.8,1.42,0.99,0.52,2566075.0,2043528.0
2021-07-29,0.67,1.35,0.64,0.48,3052996.0,2049829.0
2021-07-30,0.83,1.53,0.98,0.56,3693450.0,3060593.0
2021-08-02,0.89,1.82,0.91,0.51,2691366.0,2406164.0
2021-08-03,0.76,1.35,1.27,0.47,2641497.0,2018366.0
2021-08-04,0.84,1.7,1.14,0.52,2582289.0,2164567.0
2021-08-05,0.82,1.76,1.19,0.52,2519792.0,2066188.0
2021-08-06,0.95,1.71,1.33,0.55,3008063.0,2843001.0
2021-08-09,0.86,1.57,1.2,0.49,2717720.0,2336942.0
2021-08-10,0.72,1.4,1.2,0.43,2651666.0,1920097.0
2021-08-11,0.98,1.55,1.69,0.52,2766991.0,2705068.0
2021-08-12,0.88,1.52,1.35,0.53,2852830.0,2521442.0
2021-08-13,0.93,1.84,1.01,0.57,2986071.0,2789457.0
2021-08-16,0.87,1.45,1.11,0.54,3165258.0,2756380.0
2021-08-17,0.92,1.33,1.12,0.58,3333546.0,3054778.0
2021-08-18,0.91,1.71,0.82,0.52,3221091.0,2918036.0
2021-08-19,1.04,1.61,1.32,0.61,3441593.0,3563114.0
2021-08-20,0.91,1.75,1.06,0.57,3428996.0,3111873.0
2021-08-23,0.78,1.61,0.95,0.41,3374755.0,2632296.0
2021-08-24,0.69,1.64,1.05,0.39,2835521.0,1950980.0
2021-08-25,0.8,1.75,1.08,0.42,2761194.0,2201416.0
2021-08-26,0.86,1.48,1.07,0.55,3071066.0,2642701.0
2021-08-27,0.88,1.88,0.98,0.49,3285908.0,2880452.0
2021-08-30,0.77,1.34,1.28,0.42,3248185.0,2507525.0
2021-08-31,0.89,1.65,1.33,0.46,2559854.0,2269912.0
2021-09-01,0.81,1.79,0.94,0.45,3075767.0,2494599.0
2021-09-02,0.68,1.51,0.86,0.42,3059125.0,2077757.0
2021-09-03,0.89,1.8,1.05,0.5,3045844.0,2701638.0
2021-09-06,,,,,,
2021-09-07,0.87,1.83,1.19,0.43,3073537.0,2681244.0
2021-09-08,0.86,1.57,1.19,0.42,3148116.0,2708582.0
2021-09-09,0.82,1.62,0.97,0.47,2908799.0,2371460.0
